Nome: MANAUS
Codigo Estacao: 82331
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 2007-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;INSOLACAO TOTAL, MENSAL(h);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2013-12-31;182;101,3;33,245161;28,467742;25,525806;76,790323;
2014-01-31;156;253,3;31,880645;27,457419;24,996774;80,274194;
2014-02-28;78,4;245,4;31,046429;26,498571;24,228571;85,785714;
2014-03-31;118,6;527,7;31,16129;26,870323;24,403226;85,032258;
2014-04-30;154;260,3;32,033333;27,393333;24,88;82,558333;
2014-05-31;140,6;411,3;31,493548;27,267097;24,845161;83,604839;
2014-06-30;207,2;211,7;32,343333;28,018;25,043333;78,441667;
2014-07-31;231,3;66,1;32,470968;27,797419;24,551613;76,25;
2014-08-31;226,9;32,2;33,996774;28,840645;25,209677;70,395161;
2014-09-30;242,6;,6;35,796667;30,156667;26,223333;63,316667;
2014-10-31;143,9;190,9;33,116129;28,007742;24,745161;77,266129;
2014-11-30;145,7;196;32,973333;28,356667;25,296667;77,05;
2014-12-31;144,8;173,8;32,854839;28,103871;25,36129;80,25;
2015-01-31;135,2;303,7;31,558065;26,812903;24,454839;82,806452;
2015-02-28;130;214;32,210714;27,524286;24,839286;79,857143;
2015-03-31;111,8;373,7;31,854839;26,808387;24,564516;85,104839;
2015-04-30;141,9;165,5;32,106667;27,481333;24,816667;81,825;
2015-05-31;138,9;280,8;31,96129;27,32;24,951613;83,443548;
2015-06-30;197,7;83,9;32,703333;28,114;25,276667;77,425;
2015-07-31;240,1;47,3;33,425806;28,421935;25,203226;74,33871;
2015-08-31;268,9;10,7;35,422581;30,151333;26,219355;68,903226;
2015-09-30;272,4;15,8;37,106667;31,636;27,543333;63,891667;
2015-10-31;196,5;31,3;36,145161;30,822;27,219355;62,556452;
2015-11-30;183,1;91,3;34,786667;29,79;26,363333;68,3;
2015-12-31;137,7;154,2;33,948387;29,425806;26,458065;72,25;
2016-01-31;155,3;129,6;33,547826;29,607903;26,722581;71,532258;
2016-02-29;146,9;235,3;null;28,15;25,382759;79,551724;
2016-03-31;113,7;281,9;null;27,888333;25,448387;82,346774;
2016-04-30;142,6;303,9;32,26;27,766;25,303333;81,725;
2016-05-31;155,3;108,4;32,463333;28,197333;25,809677;79,725;
2016-06-30;223,1;92,1;32,713333;28,1;24,986667;74,933333;
2016-07-31;255;103,2;33,435484;28,734516;25,158065;68,75;
2016-08-31;247,1;49,8;34,448387;29,409032;25,664516;66,048387;
2016-09-30;172,9;112;33,496667;28,491333;25,563333;74,075;
2016-10-31;202,1;152,2;34,503226;29,530968;26,374194;70,354839;
2016-11-30;192,5;193,7;33,886667;29,188667;25,903333;71,866667;
2016-12-31;109;518,8;31,393548;27,10129;24,780645;83,766129;
2017-01-31;143,3;402,1;31,858065;26,868387;23,990323;81,943548;
2017-02-28;76,8;257,4;30,85;26,787692;24,467857;82,660714;
2017-03-31;114,8;270;31,416667;27,023333;24,496774;83,158333;
2017-04-30;139,5;338,4;31,773333;27,232;24,603333;83,525;
2017-05-31;212,9;135,8;33,1;28,410968;25,548387;77,532258;
2017-06-30;200,7;126,5;32,75;28,386;25,446667;75,766667;
2017-07-31;252,3;75,7;32,783871;28,259355;24,687097;69,290323;
2017-08-31;261,2;20,1;35,446667;30,114;26,251613;63,283333;
2017-09-30;164,6;166,4;33,931034;28,870345;25,68;73,655172;
2017-10-31;184;148,1;33,416129;28,646667;25,225806;74,193548;
2017-11-30;144;195,7;33,276667;28,566207;25,717241;77,483333;
2017-12-31;85,3;512,8;31,454839;27,234194;24,883871;84,145161;
2018-01-31;125,8;215,3;31,919355;26,832903;24,248387;83,346774;
2018-02-28;95,9;331,4;32,117857;27,169286;24,582143;79,625;
2018-03-31;111;242,9;32,396774;27,596;24,948387;80,540323;
2018-04-30;108,8;280,8;31,7;26,904667;24,35;84;
2018-05-31;101,9;179,4;31,864516;27,063871;24,474194;83,645161;
2018-06-30;179,8;188,6;32,385185;27,731111;24,596667;75,396552;
2018-07-31;204,8;54,1;33,535484;28,285161;24,767742;70,870968;
2018-08-31;224,4;19,5;34,332258;28,996129;25,041935;68,322581;
2018-09-30;206,7;80,8;34,893333;29,652667;25,89;67,316667;
2018-10-31;213,9;56,7;35,803226;30,474194;26,603226;65,435484;
2018-11-30;141;148,4;33,803333;28,757931;25,93;76,166667;
2018-12-31;91,7;349,7;30,96129;26,563226;24,029032;83,895161;
2019-01-31;124,7;277,4;31,941935;27,04129;24,141935;86,16129;
2019-02-28;79,7;373,9;31,646429;27,010714;24,75;88,5625;
2019-03-31;135,4;377,5;32,890323;28,006452;25,177419;83,895161;
2019-04-30;113,2;273,6;32,23;27,46;24,803333;82,766667;
2019-05-31;126,9;313,4;31,458065;27,396129;25,054839;82,540323;
2019-06-30;181,8;57,1;32,303333;28,094667;25,133333;75,6;
2019-07-31;224,1;123,3;32,877419;28,397419;25,248387;70,959677;
2019-08-31;228,2;47,4;34,006452;28,989032;24,983871;66,516129;
2019-09-30;197,9;187,6;34,776667;29,518667;25,87;68,266667;
2019-10-31;162,3;238,2;33,048387;27,865161;24,877419;75,967742;
2019-11-30;126,2;164,9;32,903333;28,254667;25,663333;78,383333;
2019-12-31;114,1;217,2;31,93871;27,54129;25,019355;82,459677;
2020-01-31;135,7;441,9;32,56129;27,925517;25,106452;77,967742;
2020-02-29;93;232,1;32,393103;27,991724;25,531034;78,913793;
2020-03-31;119,1;446,3;32,441935;28,232667;25,516129;78,766129;
2020-04-30;91,7;348,1;31,67;27,276;24,813333;83,791667;
2020-05-31;120,3;296,8;32,070968;27,508;25,045161;83,072581;
2020-06-30;141,9;181,7;32,326667;27,999333;24,883333;77,041667;
2020-07-31;214,6;51,7;33,554839;29,011613;25,622581;68,451613;
2020-08-31;202,4;29,4;34,887097;29,619355;25,974194;63,403226;
2020-09-30;176;123,2;35;29,502759;25,706667;66,866667;
2020-10-31;155,5;121,9;33,303226;28,340645;24,732258;76,120968;
2020-11-30;103,4;469,6;32,65;28,055333;25,02;79,15;
2020-12-31;134,6;391,9;32,409677;27,63;24,674194;80,669355;
2021-01-31;null;null;null;null;24,286667;null;
2021-02-28;null;null;30,52;null;24,31;null;
2021-03-31;88,5;589,3;30,656667;26,408333;23,967742;86,291667;
2021-04-30;112,7;167,6;31,72;27,335333;24,756667;83,441667;
2021-05-31;120,6;186,5;31,73871;27,581935;25,277419;82,120968;
2021-06-30;136,7;206,1;31,906667;27,63;24,906667;78,733333;
2021-07-31;165,1;142,7;32,064516;27,678;24,58;77,625;
2021-08-31;193,1;171;33,790323;28,742308;25,226923;73,230769;
2021-09-30;164,7;22,8;33,693333;28,429231;25,2;73,894231;
2021-10-31;161,9;205,7;33,993333;28,836154;25,45;75,105769;
2021-11-30;110,7;311,7;32,15;27,5952;24,803846;82,634615;
2021-12-31;87,2;227,9;31,529032;27,134815;24,940741;87,12963;
2022-01-31;78,2;275,8;31,488462;27,064615;24,75;86,038462;
2022-02-28;57,8;315,8;31,120833;26,774545;24,2875;85,260417;
2022-03-31;33,9;402,4;30,993548;26,417419;24,23871;86,653226;
2022-04-30;22,1;454,3;31,086207;26,997143;24,386667;83,836207;
2022-05-31;112,2;129,7;31,956667;27,696296;24,9;78,068966;
2022-06-30;133,4;166,6;31,62069;27,226207;24,083333;78,034483;
2022-07-31;186,9;37;33,690323;28,943333;25,17;69,016129;
2022-08-31;183,3;36,4;34,340741;29,234074;25,392857;69,194444;
2022-09-30;204,3;9,1;35,91;30,243448;26,124138;63,725;
2022-10-31;166,8;169,5;34,210714;29,3;25,751724;68,825;
2022-11-30;126,2;104,5;33,817241;28,694286;25,131034;71,689655;
2022-12-31;147,5;403,3;32,525806;27,779333;24,786667;76,564516;

